subclassification_code,rule_id,category_code,category,subcategory,tertiary_applicable,tertiary_dimension,tertiary_code,tertiary_classification,tertiary_source_term,tertiary_is_residual,tertiary_aliases,allocation_key,annual_rate_pkr,rate_basis,official_text,criteria_json,source_page,notes
6(v)(a),PFT-6.v.a,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06V-TECHNICAL-CONSULTANT,Technical Consultant,Technical Consultants,false,technical consultant | technical consultants,6(v)(a)|PFT-T06V-TECHNICAL-CONSULTANT,6000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — within Metropolitan and Municipal Corporation limits","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(v)(a),PFT-6.v.a,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Within Metropolitan and Municipal Corporation limits",true,profession_type,PFT-T06V-SCIENTIFIC-CONSULTANT,Scientific Consultant,Scientific Consultants,false,scientific consultant | scientific consultants,6(v)(a)|PFT-T06V-SCIENTIFIC-CONSULTANT,6000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — within Metropolitan and Municipal Corporation limits","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(v)(b),PFT-6.v.b,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Others",true,profession_type,PFT-T06V-MANAGEMENT-CONSULTANT,Management Consultant,Management Consultants,false,management consultant | management consultants,6(v)(b)|PFT-T06V-MANAGEMENT-CONSULTANT,4000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — others","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(v)(b),PFT-6.v.b,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Others",true,profession_type,PFT-T06V-TAX-CONSULTANT,Tax Consultant,Tax Consultants,false,tax consultant | tax consultants,6(v)(b)|PFT-T06V-TAX-CONSULTANT,4000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — others","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(v)(b),PFT-6.v.b,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Others",true,profession_type,PFT-T06V-ARCHITECT,Architect,Architects,false,architect | architects,6(v)(b)|PFT-T06V-ARCHITECT,4000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — others","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(v)(b),PFT-6.v.b,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Others",true,profession_type,PFT-T06V-ENGINEERING-CONSULTANT,Engineering Consultant,Engineering Consultants,false,engineering consultant | engineering consultants,6(v)(b)|PFT-T06V-ENGINEERING-CONSULTANT,4000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — others","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(v)(b),PFT-6.v.b,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Others",true,profession_type,PFT-T06V-TECHNICAL-CONSULTANT,Technical Consultant,Technical Consultants,false,technical consultant | technical consultants,6(v)(b)|PFT-T06V-TECHNICAL-CONSULTANT,4000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — others","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(v)(b),PFT-6.v.b,6,Professions and service providers,"Management and Tax Consultants / Architects / Engineering, Technical and Scientific Consultants | Others",true,profession_type,PFT-T06V-SCIENTIFIC-CONSULTANT,Scientific Consultant,Scientific Consultants,false,scientific consultant | scientific consultants,6(v)(b)|PFT-T06V-SCIENTIFIC-CONSULTANT,4000,per annum,"Management and Tax Consultants Architects, Engineering, Technical and Scientific Consultants — others","[{""field"":""service_type"",""operator"":""IN"",""value"":[""Management Consultant"",""Tax Consultant"",""Architect"",""Engineering Consultant"",""Technical Consultant"",""Scientific Consultant""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(vi),PFT-6.vi,6,Professions and service providers,Lawyers,false,,,,,,,6(vi),1000,per annum,Lawyers,"[{""field"":""profession_type"",""operator"":""="",""value"":""Lawyer""}]",3,
6(vii)(a),PFT-6.vii.a,6,Professions and service providers,Members of Stock Exchanges,false,,,,,,,6(vii)(a),10000,per annum,Members of Stock Exchanges,"[{""field"":""service_type"",""operator"":""="",""value"":""Stock Exchange Member""}]",3,
6(vii)(b)(i),PFT-6.vii.b.i,6,Professions and service providers,Money Changer | Within Metropolitan and Municipal Corporation limits,false,,,,,,,6(vii)(b)(i),6000,per annum,Money Changer — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""="",""value"":""Money Changer""},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(vii)(b)(ii),PFT-6.vii.b.ii,6,Professions and service providers,Money Changer | Others,false,,,,,,,6(vii)(b)(ii),2000,per annum,Money Changer — others,"[{""field"":""service_type"",""operator"":""="",""value"":""Money Changer""},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(vii)(c)(i),PFT-6.vii.c.i,6,Professions and service providers,Motorcycle / Scooter Dealers | Within Metropolitan and Municipal Corporation limits,true,dealer_type,PFT-T06VIIC-MOTORCYCLE-DEALER,Motorcycle Dealer,Motorcycle dealers,false,motorcycle dealer | motorcycle dealers | motor cycle dealer | motor cycle dealers,6(vii)(c)(i)|PFT-T06VIIC-MOTORCYCLE-DEALER,10000,per annum,Motorcycle/Scooter dealers — within Metropolitan and Municipal Corporation limits,"[{""field"":""dealer_type"",""operator"":""IN"",""value"":[""Motorcycle Dealer"",""Scooter Dealer""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(vii)(c)(i),PFT-6.vii.c.i,6,Professions and service providers,Motorcycle / Scooter Dealers | Within Metropolitan and Municipal Corporation limits,true,dealer_type,PFT-T06VIIC-SCOOTER-DEALER,Scooter Dealer,Scooter dealers,false,scooter dealer | scooter dealers,6(vii)(c)(i)|PFT-T06VIIC-SCOOTER-DEALER,10000,per annum,Motorcycle/Scooter dealers — within Metropolitan and Municipal Corporation limits,"[{""field"":""dealer_type"",""operator"":""IN"",""value"":[""Motorcycle Dealer"",""Scooter Dealer""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",3,
6(vii)(c)(ii),PFT-6.vii.c.ii,6,Professions and service providers,Motorcycle / Scooter Dealers | Others,true,dealer_type,PFT-T06VIIC-MOTORCYCLE-DEALER,Motorcycle Dealer,Motorcycle dealers,false,motorcycle dealer | motorcycle dealers | motor cycle dealer | motor cycle dealers,6(vii)(c)(ii)|PFT-T06VIIC-MOTORCYCLE-DEALER,6000,per annum,Motorcycle/Scooter dealers — others,"[{""field"":""dealer_type"",""operator"":""IN"",""value"":[""Motorcycle Dealer"",""Scooter Dealer""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(vii)(c)(ii),PFT-6.vii.c.ii,6,Professions and service providers,Motorcycle / Scooter Dealers | Others,true,dealer_type,PFT-T06VIIC-SCOOTER-DEALER,Scooter Dealer,Scooter dealers,false,scooter dealer | scooter dealers,6(vii)(c)(ii)|PFT-T06VIIC-SCOOTER-DEALER,6000,per annum,Motorcycle/Scooter dealers — others,"[{""field"":""dealer_type"",""operator"":""IN"",""value"":[""Motorcycle Dealer"",""Scooter Dealer""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",3,
6(vii)(d)(i),PFT-6.vii.d.i,6,Professions and service providers,Motor Vehicle Dealers and Real Estate Agents | Within Metropolitan and Municipal Corporation limits,true,dealer_or_agent_type,PFT-T06VIID-MOTOR-VEHICLE-DEALER,Motor Vehicle Dealer,Motor Vehicle Dealers,false,motor vehicle dealer | motor vehicle dealers,6(vii)(d)(i)|PFT-T06VIID-MOTOR-VEHICLE-DEALER,20000,per annum,Motor Vehicle Dealers and Real Estate Agents — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_or_dealer_type"",""operator"":""IN"",""value"":[""Motor Vehicle Dealer"",""Real Estate Agent""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(vii)(d)(i),PFT-6.vii.d.i,6,Professions and service providers,Motor Vehicle Dealers and Real Estate Agents | Within Metropolitan and Municipal Corporation limits,true,dealer_or_agent_type,PFT-T06VIID-REAL-ESTATE-AGENT,Real Estate Agent,Real Estate Agents,false,real estate agent | real estate agents,6(vii)(d)(i)|PFT-T06VIID-REAL-ESTATE-AGENT,20000,per annum,Motor Vehicle Dealers and Real Estate Agents — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_or_dealer_type"",""operator"":""IN"",""value"":[""Motor Vehicle Dealer"",""Real Estate Agent""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(vii)(d)(ii),PFT-6.vii.d.ii,6,Professions and service providers,Motor Vehicle Dealers and Real Estate Agents | Others,true,dealer_or_agent_type,PFT-T06VIID-MOTOR-VEHICLE-DEALER,Motor Vehicle Dealer,Motor Vehicle Dealers,false,motor vehicle dealer | motor vehicle dealers,6(vii)(d)(ii)|PFT-T06VIID-MOTOR-VEHICLE-DEALER,10000,per annum,Motor Vehicle Dealers and Real Estate Agents — others,"[{""field"":""service_or_dealer_type"",""operator"":""IN"",""value"":[""Motor Vehicle Dealer"",""Real Estate Agent""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(vii)(d)(ii),PFT-6.vii.d.ii,6,Professions and service providers,Motor Vehicle Dealers and Real Estate Agents | Others,true,dealer_or_agent_type,PFT-T06VIID-REAL-ESTATE-AGENT,Real Estate Agent,Real Estate Agents,false,real estate agent | real estate agents,6(vii)(d)(ii)|PFT-T06VIID-REAL-ESTATE-AGENT,10000,per annum,Motor Vehicle Dealers and Real Estate Agents — others,"[{""field"":""service_or_dealer_type"",""operator"":""IN"",""value"":[""Motor Vehicle Dealer"",""Real Estate Agent""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(vii)(e)(i),PFT-6.vii.e.i,6,Professions and service providers,Recruiting Agents | Within Metropolitan and Municipal Corporation limits,false,,,,,,,6(vii)(e)(i),20000,per annum,Recruiting Agents — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""="",""value"":""Recruiting Agent""},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(vii)(e)(ii),PFT-6.vii.e.ii,6,Professions and service providers,Recruiting Agents | Others,false,,,,,,,6(vii)(e)(ii),10000,per annum,Recruiting Agents — others,"[{""field"":""service_type"",""operator"":""="",""value"":""Recruiting Agent""},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(viii)(i),PFT-6.viii.i,6,Professions and service providers,Carriage of goods and passengers by road | Within Metropolitan and Municipal Corporation limits,true,transport_type,PFT-T06VIII-GOODS-CARRIAGE,Goods Carriage by Road,Carriage of goods by road,false,carriage of goods by road | goods carriage by road,6(viii)(i)|PFT-T06VIII-GOODS-CARRIAGE,4000,per annum,Carriage of goods and passengers by road — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""="",""value"":""Carriage of goods and passengers by road""},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(viii)(i),PFT-6.viii.i,6,Professions and service providers,Carriage of goods and passengers by road | Within Metropolitan and Municipal Corporation limits,true,transport_type,PFT-T06VIII-PASSENGER-CARRIAGE,Passenger Carriage by Road,Carriage of passengers by road,false,carriage of passengers by road | passenger carriage by road,6(viii)(i)|PFT-T06VIII-PASSENGER-CARRIAGE,4000,per annum,Carriage of goods and passengers by road — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""="",""value"":""Carriage of goods and passengers by road""},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(viii)(ii),PFT-6.viii.ii,6,Professions and service providers,Carriage of goods and passengers by road | Others,true,transport_type,PFT-T06VIII-GOODS-CARRIAGE,Goods Carriage by Road,Carriage of goods by road,false,carriage of goods by road | goods carriage by road,6(viii)(ii)|PFT-T06VIII-GOODS-CARRIAGE,2000,per annum,Carriage of goods and passengers by road — others,"[{""field"":""service_type"",""operator"":""="",""value"":""Carriage of goods and passengers by road""},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(viii)(ii),PFT-6.viii.ii,6,Professions and service providers,Carriage of goods and passengers by road | Others,true,transport_type,PFT-T06VIII-PASSENGER-CARRIAGE,Passenger Carriage by Road,Carriage of passengers by road,false,carriage of passengers by road | passenger carriage by road,6(viii)(ii)|PFT-T06VIII-PASSENGER-CARRIAGE,2000,per annum,Carriage of goods and passengers by road — others,"[{""field"":""service_type"",""operator"":""="",""value"":""Carriage of goods and passengers by road""},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(ix)(i),PFT-6.ix.i,6,Professions and service providers,Health Clubs and Gymnasiums | Within Metropolitan and Municipal Corporation limits,true,establishment_type,PFT-T06IX-HEALTH-CLUB,Health Club,Health Clubs,false,health club | health clubs,6(ix)(i)|PFT-T06IX-HEALTH-CLUB,4000,per annum,Health Clubs and Gymnasiums — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""IN"",""value"":[""Health Club"",""Gymnasium""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(ix)(i),PFT-6.ix.i,6,Professions and service providers,Health Clubs and Gymnasiums | Within Metropolitan and Municipal Corporation limits,true,establishment_type,PFT-T06IX-GYMNASIUM,Gymnasium,Gymnasiums,false,gymnasium | gymnasiums,6(ix)(i)|PFT-T06IX-GYMNASIUM,4000,per annum,Health Clubs and Gymnasiums — within Metropolitan and Municipal Corporation limits,"[{""field"":""service_type"",""operator"":""IN"",""value"":[""Health Club"",""Gymnasium""]},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",4,
6(ix)(ii),PFT-6.ix.ii,6,Professions and service providers,Health Clubs and Gymnasiums | Others,true,establishment_type,PFT-T06IX-HEALTH-CLUB,Health Club,Health Clubs,false,health club | health clubs,6(ix)(ii)|PFT-T06IX-HEALTH-CLUB,2000,per annum,Health Clubs and Gymnasiums — others,"[{""field"":""service_type"",""operator"":""IN"",""value"":[""Health Club"",""Gymnasium""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(ix)(ii),PFT-6.ix.ii,6,Professions and service providers,Health Clubs and Gymnasiums | Others,true,establishment_type,PFT-T06IX-GYMNASIUM,Gymnasium,Gymnasiums,false,gymnasium | gymnasiums,6(ix)(ii)|PFT-T06IX-GYMNASIUM,2000,per annum,Health Clubs and Gymnasiums — others,"[{""field"":""service_type"",""operator"":""IN"",""value"":[""Health Club"",""Gymnasium""]},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",4,
6(x),PFT-6.x,6,Professions and service providers,Jewelers / Departmental Stores / Electronic Goods Stores / Cable Operators / Printing Presses / Pesticide Dealers,true,establishment_type,PFT-T06X-JEWELER,Jeweler,Jewelers,false,jeweler | jewelers | jeweller | jewellers,6(x)|PFT-T06X-JEWELER,2000,per annum,"Jewelers, departmental stores, electronic goods stores, cable operators, printing presses and pesticide dealers","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Jeweler"",""Departmental Store"",""Electronic Goods Store"",""Cable Operator"",""Printing Press"",""Pesticide Dealer""]}]",4,
6(x),PFT-6.x,6,Professions and service providers,Jewelers / Departmental Stores / Electronic Goods Stores / Cable Operators / Printing Presses / Pesticide Dealers,true,establishment_type,PFT-T06X-DEPARTMENTAL-STORE,Departmental Store,departmental stores,false,departmental store | departmental stores,6(x)|PFT-T06X-DEPARTMENTAL-STORE,2000,per annum,"Jewelers, departmental stores, electronic goods stores, cable operators, printing presses and pesticide dealers","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Jeweler"",""Departmental Store"",""Electronic Goods Store"",""Cable Operator"",""Printing Press"",""Pesticide Dealer""]}]",4,
6(x),PFT-6.x,6,Professions and service providers,Jewelers / Departmental Stores / Electronic Goods Stores / Cable Operators / Printing Presses / Pesticide Dealers,true,establishment_type,PFT-T06X-ELECTRONIC-GOODS-STORE,Electronic Goods Store,electronic goods stores,false,electronic goods store | electronic goods stores,6(x)|PFT-T06X-ELECTRONIC-GOODS-STORE,2000,per annum,"Jewelers, departmental stores, electronic goods stores, cable operators, printing presses and pesticide dealers","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Jeweler"",""Departmental Store"",""Electronic Goods Store"",""Cable Operator"",""Printing Press"",""Pesticide Dealer""]}]",4,
6(x),PFT-6.x,6,Professions and service providers,Jewelers / Departmental Stores / Electronic Goods Stores / Cable Operators / Printing Presses / Pesticide Dealers,true,establishment_type,PFT-T06X-CABLE-OPERATOR,Cable Operator,cable operators,false,cable operator | cable operators,6(x)|PFT-T06X-CABLE-OPERATOR,2000,per annum,"Jewelers, departmental stores, electronic goods stores, cable operators, printing presses and pesticide dealers","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Jeweler"",""Departmental Store"",""Electronic Goods Store"",""Cable Operator"",""Printing Press"",""Pesticide Dealer""]}]",4,
6(x),PFT-6.x,6,Professions and service providers,Jewelers / Departmental Stores / Electronic Goods Stores / Cable Operators / Printing Presses / Pesticide Dealers,true,establishment_type,PFT-T06X-PRINTING-PRESS,Printing Press,printing presses,false,printing press | printing presses,6(x)|PFT-T06X-PRINTING-PRESS,2000,per annum,"Jewelers, departmental stores, electronic goods stores, cable operators, printing presses and pesticide dealers","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Jeweler"",""Departmental Store"",""Electronic Goods Store"",""Cable Operator"",""Printing Press"",""Pesticide Dealer""]}]",4,
6(x),PFT-6.x,6,Professions and service providers,Jewelers / Departmental Stores / Electronic Goods Stores / Cable Operators / Printing Presses / Pesticide Dealers,true,establishment_type,PFT-T06X-PESTICIDE-DEALER,Pesticide Dealer,pesticide dealers,false,pesticide dealer | pesticide dealers,6(x)|PFT-T06X-PESTICIDE-DEALER,2000,per annum,"Jewelers, departmental stores, electronic goods stores, cable operators, printing presses and pesticide dealers","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Jeweler"",""Departmental Store"",""Electronic Goods Store"",""Cable Operator"",""Printing Press"",""Pesticide Dealer""]}]",4,
6(xi),PFT-6.xi,6,Professions and service providers,Tobacco Venders — Wholesalers,false,,,,,,,6(xi),4000,per annum,Tobacco venders — Wholesalers,"[{""field"":""business_type"",""operator"":""="",""value"":""Tobacco Wholesaler""}]",4,
7,PFT-7,7,Franchisees / Authorized Dealers / Agents / Distributors,Flat rate,true,business_role,PFT-T07-FRANCHISEE,Franchisee,Franchisee,false,franchisee | franchisees,7|PFT-T07-FRANCHISEE,5000,per annum,"Franchisee, Authorized dealers/Agents and distributors","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Franchisee"",""Authorized Dealer"",""Authorized Agent"",""Distributor""]}]",4,
7,PFT-7,7,Franchisees / Authorized Dealers / Agents / Distributors,Flat rate,true,business_role,PFT-T07-AUTHORIZED-DEALER,Authorized Dealer,Authorized dealers,false,authorized dealer | authorized dealers | authorised dealer | authorised dealers,7|PFT-T07-AUTHORIZED-DEALER,5000,per annum,"Franchisee, Authorized dealers/Agents and distributors","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Franchisee"",""Authorized Dealer"",""Authorized Agent"",""Distributor""]}]",4,
7,PFT-7,7,Franchisees / Authorized Dealers / Agents / Distributors,Flat rate,true,business_role,PFT-T07-AUTHORIZED-AGENT,Authorized Agent,Agents,false,authorized agent | authorized agents | authorised agent | authorised agents,7|PFT-T07-AUTHORIZED-AGENT,5000,per annum,"Franchisee, Authorized dealers/Agents and distributors","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Franchisee"",""Authorized Dealer"",""Authorized Agent"",""Distributor""]}]",4,
7,PFT-7,7,Franchisees / Authorized Dealers / Agents / Distributors,Flat rate,true,business_role,PFT-T07-DISTRIBUTOR,Distributor,distributors,false,distributor | distributors,7|PFT-T07-DISTRIBUTOR,5000,per annum,"Franchisee, Authorized dealers/Agents and distributors","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Franchisee"",""Authorized Dealer"",""Authorized Agent"",""Distributor""]}]",4,
8,PFT-8,8,Property Developers / Builders / Marketing Agents or Companies,"Development, marketing and management of residential, commercial or industrial properties",true,property_business_role,PFT-T08-PROPERTY-DEVELOPER,Property Developer,Property Developers,false,property developer | property developers,8|PFT-T08-PROPERTY-DEVELOPER,50000,per annum,"Property Developers / Builders & Marketing Agent/Company engaged in the development marketing and management of residential, commercial or industrial properties","[{""field"":""business_activity"",""operator"":""="",""value"":""Development/marketing/management of residential, commercial or industrial properties""}]",5,
8,PFT-8,8,Property Developers / Builders / Marketing Agents or Companies,"Development, marketing and management of residential, commercial or industrial properties",true,property_business_role,PFT-T08-BUILDER,Builder,Builders,false,builder | builders,8|PFT-T08-BUILDER,50000,per annum,"Property Developers / Builders & Marketing Agent/Company engaged in the development marketing and management of residential, commercial or industrial properties","[{""field"":""business_activity"",""operator"":""="",""value"":""Development/marketing/management of residential, commercial or industrial properties""}]",5,
8,PFT-8,8,Property Developers / Builders / Marketing Agents or Companies,"Development, marketing and management of residential, commercial or industrial properties",true,property_business_role,PFT-T08-MARKETING-AGENT,Marketing Agent,Marketing Agent,false,marketing agent | marketing agents,8|PFT-T08-MARKETING-AGENT,50000,per annum,"Property Developers / Builders & Marketing Agent/Company engaged in the development marketing and management of residential, commercial or industrial properties","[{""field"":""business_activity"",""operator"":""="",""value"":""Development/marketing/management of residential, commercial or industrial properties""}]",5,
8,PFT-8,8,Property Developers / Builders / Marketing Agents or Companies,"Development, marketing and management of residential, commercial or industrial properties",true,property_business_role,PFT-T08-MARKETING-COMPANY,Marketing Company,Marketing Company,false,marketing company | marketing companies,8|PFT-T08-MARKETING-COMPANY,50000,per annum,"Property Developers / Builders & Marketing Agent/Company engaged in the development marketing and management of residential, commercial or industrial properties","[{""field"":""business_activity"",""operator"":""="",""value"":""Development/marketing/management of residential, commercial or industrial properties""}]",5,
9,PFT-9,9,Hotels / Hostels / Guest Houses / Motels / Resorts,Lodging facilities,true,lodging_type,PFT-T09-HOTEL,Hotel,Hotels,false,hotel | hotels,9|PFT-T09-HOTEL,5000,per annum,"Hotels, Hostels (except hostels owned and operated by an educational institution itself) / Guest Houses / Motels / Resorts providing lodging facilities","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Hotel"",""Hostel"",""Guest House"",""Motel"",""Resort""]},{""field"":""provides_lodging"",""operator"":""="",""value"":true},{""field"":""educational_institution_owned_and_operated_hostel"",""operator"":""="",""value"":false}]",5,
9,PFT-9,9,Hotels / Hostels / Guest Houses / Motels / Resorts,Lodging facilities,true,lodging_type,PFT-T09-HOSTEL,Hostel,Hostels,false,hostel | hostels,9|PFT-T09-HOSTEL,5000,per annum,"Hotels, Hostels (except hostels owned and operated by an educational institution itself) / Guest Houses / Motels / Resorts providing lodging facilities","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Hotel"",""Hostel"",""Guest House"",""Motel"",""Resort""]},{""field"":""provides_lodging"",""operator"":""="",""value"":true},{""field"":""educational_institution_owned_and_operated_hostel"",""operator"":""="",""value"":false}]",5,
9,PFT-9,9,Hotels / Hostels / Guest Houses / Motels / Resorts,Lodging facilities,true,lodging_type,PFT-T09-GUEST-HOUSE,Guest House,Guest Houses,false,guest house | guest houses | guesthouse | guesthouses,9|PFT-T09-GUEST-HOUSE,5000,per annum,"Hotels, Hostels (except hostels owned and operated by an educational institution itself) / Guest Houses / Motels / Resorts providing lodging facilities","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Hotel"",""Hostel"",""Guest House"",""Motel"",""Resort""]},{""field"":""provides_lodging"",""operator"":""="",""value"":true},{""field"":""educational_institution_owned_and_operated_hostel"",""operator"":""="",""value"":false}]",5,
9,PFT-9,9,Hotels / Hostels / Guest Houses / Motels / Resorts,Lodging facilities,true,lodging_type,PFT-T09-MOTEL,Motel,Motels,false,motel | motels,9|PFT-T09-MOTEL,5000,per annum,"Hotels, Hostels (except hostels owned and operated by an educational institution itself) / Guest Houses / Motels / Resorts providing lodging facilities","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Hotel"",""Hostel"",""Guest House"",""Motel"",""Resort""]},{""field"":""provides_lodging"",""operator"":""="",""value"":true},{""field"":""educational_institution_owned_and_operated_hostel"",""operator"":""="",""value"":false}]",5,
9,PFT-9,9,Hotels / Hostels / Guest Houses / Motels / Resorts,Lodging facilities,true,lodging_type,PFT-T09-RESORT,Resort,Resorts,false,resort | resorts,9|PFT-T09-RESORT,5000,per annum,"Hotels, Hostels (except hostels owned and operated by an educational institution itself) / Guest Houses / Motels / Resorts providing lodging facilities","[{""field"":""business_type"",""operator"":""IN"",""value"":[""Hotel"",""Hostel"",""Guest House"",""Motel"",""Resort""]},{""field"":""provides_lodging"",""operator"":""="",""value"":true},{""field"":""educational_institution_owned_and_operated_hostel"",""operator"":""="",""value"":false}]",5,
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-RESTAURANT,Restaurant,Restaurants,false,restaurant | restaurants,10|PFT-T10-RESTAURANT,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
